16.03.2025	14.55.59	e60ed1cf-5a36-4e26-8526-5d957c6c054d	POST	/api/auth/register	http://localhost:8080
16.03.2025	14.56.00	eba4c7b3-d9ea-4f4e-b9d0-91dcfe5b07ac	POST	/api/auth/register	http://localhost:8080
16.03.2025	14.56.07	d3059d8b-e6db-48e3-be48-4ffaea158b70	POST	/api/auth/register	http://localhost:8080
16.03.2025	14.58.12	f70838cf-979d-43a2-b455-dfb5e7643dee	POST	/register	http://localhost:8080	201
16.03.2025	14.58.40	b5597c80-20b4-4cb9-94e4-c2ccdecde21a	POST	/register	http://localhost:8080	201
16.03.2025	15.04.05	96e89c1b-3838-4339-84e0-adae5aa7f74e	GET	/favicon-32x32.png	undefined	200
16.03.2025	15.04.30	e55d9eb5-e0e1-4909-86ac-7f69c1454206	POST	/register	http://localhost:8080	201
16.03.2025	15.36.50	38fc2154-d4f7-4bc7-89cc-5ceb8d88944b	POST	/login	undefined	200
16.03.2025	15.38.13	819861a4-979b-4a46-b1d3-bd6bed47c5c6	POST	/login	undefined	200
17.03.2025	14.26.54	5ad564b0-d5da-4e6e-b8dc-dcce27945737	POST	/login	undefined	200
17.03.2025	14.30.09	64acabfe-6e05-4c23-870d-36d5e2f6a4d5	POST	/register	undefined	201
17.03.2025	14.30.43	3efde5e2-f8ce-4f49-8b0c-38b887a1b6a0	POST	/login	undefined	200
17.03.2025	14.44.56	0341542b-6dbe-42ac-8aff-eaa94a26cf48	POST	/login	undefined	200
17.03.2025	14.55.47	a1851e51-3d35-4da4-8e53-14d1966a0224	GET	/	undefined	200
17.03.2025	15.07.52	c24cc569-a2ca-4f48-843d-d34cc74b176f	POST	/login	undefined	200
17.03.2025	15.08.02	3258a9ea-eca2-4366-9e06-284f48a9262b	GET	/	undefined	200
17.03.2025	15.10.54	0c58beeb-60ad-4bec-bd10-8a29259298fd	GET	/	undefined	200
17.03.2025	15.13.32	1ef95e87-0821-4336-99b3-3ea1d75219c3	GET	/profile	undefined	200
17.03.2025	15.13.34	eda8b8eb-2a54-4ad4-86d8-2d303d1ec622	GET	/profile	undefined	200
17.03.2025	15.13.37	615ea43b-9163-4c82-82b4-5888b929e608	GET	/profile	undefined	200
17.03.2025	15.13.46	5e730f8c-55a5-444b-9594-c2aaa994d0a6	GET	/profile	undefined	200
17.03.2025	15.13.57	1d583a9d-4304-4206-a3c2-503ddb53a990	POST	/login	undefined	200
17.03.2025	15.14.05	3c414cc5-8c0e-4944-9ecd-72885854361b	GET	/profile	undefined	200
17.03.2025	15.15.42	1c233003-b00e-46a5-9d1f-a40782c23fb0	GET	/profile	undefined	200
17.03.2025	15.16.08	84e7117a-a6ca-48ff-9dbc-d3986e561d61	GET	/profile	undefined	200
17.03.2025	15.16.09	62d199a7-7708-460d-8d6a-ca23f5143602	GET	/profile	undefined	200
17.03.2025	15.16.09	1f90c6c1-df5d-4b03-8d2c-c8727620f4ad	GET	/profile	undefined	200
17.03.2025	15.16.09	cbc2f8fa-781a-4a5c-921f-ecdddfd93e9b	GET	/profile	undefined	200
17.03.2025	15.16.10	7d3414b7-8c88-411a-bde1-1a6cf8983b6f	GET	/profile	undefined	200
17.03.2025	15.17.14	73cce183-4d68-43be-8785-d70d3eb51748	GET	/profile	undefined	200
17.03.2025	15.17.15	48d734ad-7eaf-4eb6-b0c5-76a386335385	GET	/profile	undefined	200
17.03.2025	15.17.15	58d44c9d-754b-4c6b-a95b-08cff1d16a1a	GET	/profile	undefined	200
17.03.2025	15.17.17	a9d3d6e8-ba17-4141-b654-89ca26b49bc6	GET	/profile	undefined	200
17.03.2025	15.17.28	1cfff141-f768-48a7-b9ee-b0a8f679b5d2	POST	/login	undefined	200
17.03.2025	15.17.45	3e136c3f-f112-427b-86d1-a03db001c5d0	GET	/profile	undefined	200
17.03.2025	15.21.18	1b921324-de29-4d09-9f53-aea0cb791404	GET	/profile	undefined	200
17.03.2025	15.34.03	7850ae01-f45e-4369-9bc9-65996ee31b55	POST	/login	undefined	200
17.03.2025	15.34.10	0463454e-8aeb-46e6-a3b5-c3424972fb09	GET	/profile	undefined	200
17.03.2025	15.34.13	c5bef83b-ab39-47a6-bed8-b452ab797c26	GET	/profile	undefined	200
